Year,Artist,Track,Peak Position,Peak Date
1998,Nu Flavor,Heaven,27,1/31/1998
1998,Alana Davis,32 Flavors,37,1/31/1998
1998,Uncle Sam,I Don't Ever Want to See You Again,6,2/7/1998
1998,Billie Myers,Kiss the Rain,15,2/21/1998
1998,Queen Pen,All My Love,28,2/21/1998
1998,Ol' Skool,Am I Dreaming,31,2/21/1998
1998,Ben Folds Five,Brick,19A,2/28/1998
1998,K.P. & Envyi,Swing My Way,6,3/14/1998
1998,Jimmy Ray,Are You Jimmy Ray?,13,3/14/1998
1998,Loreena McKennitt,The Mummers' Dance,18,3/21/1998
1998,Lord Tariq and Peter Gunz,Deja Vu (Uptown Baby),9,3/28/1998
1998,The Verve,Bitter Sweet Symphony,12,4/4/1998
1998,Sylk-E. Fyne featuring Chill,Romeo and Juliet,6,4/18/1998
1998,Marcy Playground,Sex and Candy,8,4/18/1998
1998,Canibus,Second Round K.O.,28,5/2/1998
1998,Natalie Imbruglia,Torn,1A,5/16/1998
1998,Fiend,Make 'Em Say Uhh!,16,5/16/1998
1998,Sparkle,Be Careful,32A,5/30/1998
1998,Playa,Cheers 2 U,38,6/6/1998
1998,Link,Whatcha Gone Do?,23,7/4/1998
1998,Imajin featuring Keith Murray,Shorty (You Keep Playin' with My Mind),25,7/11/1998
1998,Jimmy Page,Come with Me,4,7/25/1998
1998,Nicole featuring Mocha,Make It Hot,5,8/1/1998
1998,Five,When the Lights Go Out,10,8/1/1998
1998,Cleopatra,Cleopatra's Theme,26,8/1/1998
1998,Semisonic,Closing Time,11A,8/8/1998
1998,Big Punisher,Still Not a Player,24,8/15/1998
1998,Harvey Danger,Flagpole Sitta,38A,8/22/1998
1998,Jennifer Paige,Crush,3,9/5/1998
1998,Tatyana Ali,Daydreamin',6,9/12/1998
1998,Pressha,Splackavellie,27,9/19/1998
1998,The Brian Setzer Orchestra,"Jump, Jive an' Wail",23AC,10/17/1998
1998,TQ,Westside,12,10/24/1998
1998,Everything,Hooch,34AD,11/7/1998
1998,Ty Herndon,It Must Be Love,38,12/5/1998